Unique Identifier,Host Name,Physical/Virtual,Data Center Location,Platform,Service Description,Primary Function,Customer Contact One,Number of Processors (Physical/Virtual),Cores Per Processor (Virtual = 1),Total Cores,Physical/Allocated Memory (GB),Primary IP Address,VLAN,Backup IP Address,VLAN,Domain Name (Windows Only),Product,Version,Edition,Service Pack / Hotfix Level
LAT0000180,MAILOUT2,Virtual,Telford,Linux,SMTP OUT,Infrastructure,LateRooms,4,1,4,8,172.31.164.190,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000181,TELINF011P,Virtual,Telford,Linux,Squid Cache,Infrastructure,LateRooms,4,1,4,8,172.31.164.194,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000182,TELINF012P,Virtual,Telford,Linux,Squid Cache,Infrastructure,LateRooms,4,1,4,8,172.31.164.195,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000183,TELINF016P,Virtual,Telford,Linux,Public DNS,Infrastructure,LateRooms,4,1,4,8,172.31.164.199,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000184,TELINF017P,Virtual,Telford,Linux,Public DNS,Infrastructure,LateRooms,4,1,4,8,172.31.164.200,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000186,TELINF026P,Virtual,Telford,Linux,Monitoring,Infrastructure,LateRooms,4,1,4,8,172.31.141.20,104 SHARED_SVC,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000191,TELWDS001P,Virtual,Telford,Windows,WDS,Management,Xerox,2,1,2,8,172.31.164.222,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000192,TELWEB001P,Physical,Telford,Windows,laterooms.com,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.10,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000193,TELWEB002P,Physical,Telford,Windows,laterooms.com,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.11,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000194,TELWEB003P,Physical,Telford,Windows,laterooms.com,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.12,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000195,TELWEB004P,Physical,Telford,Windows,laterooms.com,Web Frontend,Ollie,2,TBC,#VALUE!,16,172.31.164.13,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000196,TELWEB005P,Physical,Telford,Windows,laterooms.com,Web Frontend,Ollie,2,TBC,#VALUE!,16,172.31.164.14,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000197,TELWEB006P,Physical,Telford,Windows,laterooms.com,Web Frontend,Ollie,2,TBC,#VALUE!,16,172.31.164.15,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000198,TELWEB007P,Physical,Telford,Windows,laterooms.com,Web Frontend,Ollie,2,TBC,#VALUE!,16,172.31.164.16,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000199,TELWEB008P,Physical,Telford,Windows,laterooms.com,Web Frontend,Ollie,2,TBC,#VALUE!,16,172.31.164.17,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000200,TELWEB009P,Physical,Telford,Windows,laterooms.com,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.18,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000201,TELWEB010P,Physical,Telford,Windows,laterooms.com,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.19,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000202,TELWEB011P,Physical,Telford,Windows,laterooms.com,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.20,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000209,TELWEB018P,Physical,Telford,Windows,Active Inventory Liberate,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.27,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000211,TELWEB100P,Virtual,Telford,Windows,Hotel Details API,Web Frontend,Steve Elliot,4,1,4,16,172.31.164.33,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000212,TELWEB101P,Virtual,Telford,Windows,Hotel Details API,Web Frontend,Steve Elliot,4,1,4,16,172.31.164.34,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000213,TELWEB102P,Virtual,Telford,Windows,Hotel Details API,Web Frontend,Steve Elliot,4,1,4,16,172.31.164.35,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000214,TELWEB103P,Virtual,Telford,Windows,Hotel Details API,Web Frontend,Steve Elliot,4,1,4,16,172.31.164.36,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000215,TELWEB104P,Virtual,Telford,Windows,Hotel Details API,Web Frontend,Steve Elliot,4,1,4,16,172.31.164.37,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000216,TELWEB105P,Virtual,Telford,Windows,Hotel Details API,Web Frontend,Steve Elliot,4,1,4,16,172.31.164.38,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000217,TELWEB107P,Physical,Telford,Windows,laterooms.com SSL,Web Frontend,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.40,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000218,TELWEB108P,Physical,Telford,Windows,laterooms.com SSL,Web Frontend,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.41,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000219,TELWEB109P,Physical,Telford,Windows,laterooms.com SSL,Web Frontend,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.42,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000220,TELWEB200P,Virtual,Telford,Windows,images.laterooms.com,Web Frontend,LateRooms,4,1,4,16,172.31.164.1,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000221,TELWEB201P,Virtual,Telford,Windows,images.laterooms.com,Web Frontend,LateRooms,4,1,4,16,172.31.164.2,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000222,TELWEB202P,Virtual,Telford,Linux,static.laterooms.com,Web Frontend,LateRooms,4,1,4,16,172.31.164.3,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000223,TELWEB203P,Virtual,Telford,Linux,static.laterooms.com,Web Frontend,LateRooms,4,1,4,16,172.31.164.4,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000224,TELWEB302P,Physical,Telford,Windows,Affiliates XML,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.45,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000225,TELWEB303P,Physical,Telford,Windows,Affiliates XML,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.46,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000226,TELWEB304P,Physical,Telford,Windows,Affiliates XML,Web Frontend,Ollie,2,TBC,#VALUE!,16,172.31.164.47,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000227,TELWEB305P,Physical,Telford,Windows,Affiliates XML,Web Frontend,Ollie,2,TBC,#VALUE!,16,172.31.164.48,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000228,TELWEB306P,Physical,Telford,Windows,Active Inventory Liberate,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.49,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000229,TELWEB307P,Physical,Telford,Windows,Active Inventory Liberate,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.50,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000230,TELWEB308P,Physical,Telford,Windows,KeyAccounts XML,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.51,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000231,TELWEB309P,Physical,Telford,Windows,KeyAccounts XML,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.52,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000232,TELWEB310P,Physical,Telford,Windows,KeyAccounts XML,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.53,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000233,TELWEB311P,Physical,Telford,Windows,KeyAccounts XML,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.54,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000234,TELWEB312P,Physical,Telford,Windows,KeyAccounts XML,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.55,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000235,TELWEB313P,Physical,Telford,Windows,KeyAccounts XML,Web Frontend,LateRooms,2,TBC,#VALUE!,32,172.31.164.56,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000236,TELWEB314P,Physical,Telford,Windows,KeyAccounts XML,Web Frontend,LateRooms,2,TBC,#VALUE!,32,172.31.164.57,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000237,TELWEB315P,Physical,Telford,Windows,Google Live Rates,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.58,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000238,TELWEB316P,Physical,Telford,Windows,Google Live Rates,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.59,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000239,TELWEB320P,Physical,Telford,Windows,laterooms.com.au,Web Frontend,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.63,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000240,TELWEB321P,Physical,Telford,Windows,laterooms.com.au,Web Frontend,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.64,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000241,TELWEB322P,Physical,Telford,Windows,laterooms.com.au,Web Frontend,Steve Elliot,2,TBC,#VALUE!,16,172.31.164.65,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000242,TELWEB325P,Physical,Telford,Windows,Hoteladmin,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.68,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000243,TELWEB326P,Physical,Telford,Windows,Hoteladmin,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.69,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000244,TELWEB327P,Physical,Telford,Windows,Hoteladmin,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.70,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000245,TELWEB330P,Physical,Telford,Windows,MicroSites,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.73,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000246,TELWEB331P,Physical,Telford,Windows,MicroSites,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.74,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000247,TELWEB332P,Physical,Telford,Windows,MicroSites,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.75,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000248,TELWEB333P,Physical,Telford,Windows,MicroSites,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.76,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000249,TELWEB335P,Physical,Telford,Windows,LRadmin/CC,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.78,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000250,TELWEB336P,Physical,Telford,Windows,LRadmin/CC,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.79,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000253,TELWEB345P,Physical,Telford,Windows,LRConnect,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.88,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000254,TELWEB346P,Physical,Telford,Windows,LRConnect,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.89,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000255,TELWEB349P,Virtual,Telford,Linux,Blogs,Web Frontend,LateRooms,4,1,4,8,172.31.164.92,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000256,TELWEB350P,Virtual,Telford,Windows,LateRoom Session State,Web Frontend,LateRooms,4,1,4,16,172.31.164.93,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000261,NEWDBM010P,Physical,Newport,Windows,Tibco Database Server,Database,LateRooms,2,TBC,#VALUE!,96,172.31.146.8,106 DATABASES,172.31.178.51,501,tlrg.org,TBC,TBC,TBC,TBC
LAT0000262,NEWDOM001P,Virtual,Newport,Windows,Domain Controller,Domain Controller,LateRooms,2,1,2,8,172.31.144.11,120 ACTIVE_DIRECTORY,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000263,TEL2FA001P,Virtual,Telford,Windows,Two Factor Authentication,Two Factor Authentication,LateRooms,2,1,2,8,172.31.140.65,102 2FA,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000264,TELDBM010P,Physical,Telford,Windows,Tibco Database Server,Database,LateRooms,2,TBC,#VALUE!,96,172.31.146.7,106 DATABASES,172.31.178.30,501,tlrg.org,Windows Server,2008 R2,Enterprise,Servce Pack 1
LAT0000265,TEL-DC-001,Virtual,Telford,Windows,Domain Controller,Domain Controller,LateRooms,2,1,2,8,172.31.144.12,120 ACTIVE_DIRECTORY,N/A,N/A,ad.laterooms.com,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000266,TELSVC007P,Virtual,Telford,Windows,Banner Manager Terminal Server,Services,LateRooms,4,1,4,16,172.31.141.28,104 SHARED_SVC,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000301,TELAPP413P,Virtual,Telford,Linux,WCMS (Hybris),Application Tier,Steve Elliot,4,1,4,16,172.31.164.239,103 FE_WEB,N/A,N/A,Not Applicable,Enterprise Linux,12.04,TBC,TBC
LAT0000302,TELAPP414P,Virtual,Telford,Linux,WCMS (Hybris),Application Tier,Steve Elliot,4,1,4,16,172.31.164.240,103 FE_WEB,N/A,N/A,Not Applicable,Enterprise Linux,12.04,TBC,TBC
LAT0000303,TELAPP415P,Virtual,Telford,Linux,WCMS (Hybris),Application Tier,Steve Elliot,4,1,4,16,172.31.164.241,103 FE_WEB,N/A,N/A,Not Applicable,Enterprise Linux,12.04,TBC,TBC
LAT0000306,TELWEB209P,Virtual,Telford,Linux,WCMS (Hybris),Application Tier,Steve Elliot,4,1,4,8,172.31.164.242,103 FE_WEB,N/A,N/A,Not Applicable,Enterprise Linux,12.04,TBC,TBC
LAT0000307,TELWEB210P,Virtual,Telford,Linux,WCMS (Hybris),Application Tier,Steve Elliot,4,1,4,8,172.31.164.243,103 FE_WEB,N/A,N/A,Not Applicable,Enterprise Linux,12.04,TBC,TBC
LAT0000309,TELNSV001P,Virtual,Telford,Linux,API CAM.laterooms.com,Application Tier,LateRooms,2,1,2,2,172.31.165.64,103 FE_WEB,172.31.178.106,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000310,TELNSV002P,Virtual,Telford,Linux,API CAM.laterooms.com,Application Tier,LateRooms,2,1,2,2,172.31.165.65,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000311,TELRDS001P,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,2,172.31.165.66,103 FE_WEB,172.31.178.107,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000312,TELRDS002P,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,2,172.31.165.67,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000313,TELRMQ001P,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,2,172.31.165.68,103 FE_WEB,172.31.178.108,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000314,TELRMQ002P,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,2,172.31.165.69,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000315,TELNAC001P,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,2,172.31.165.70,103 FE_WEB,172.31.178.109,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000316,TELNAC002P,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,2,172.31.165.71,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000317,TELMDS001P,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,4,1,4,4,172.31.165.72,103 FE_WEB,172.31.178.110,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000318,TELMDS002P,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,0.5,172.31.165.73,103 FE_WEB,172.31.178.111,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000320,TELNSV001S,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,2,172.31.165.75,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000321,TELRDS001S,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,2,172.31.165.76,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000322,TELRMQ001S,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,2,172.31.165.77,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000323,TELNAC001S,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,2,1,2,2,172.31.165.78,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000324,TELMDS001S,Virtual,Telford,Linux,Account management,Application Tier,LateRooms,4,1,4,4,172.31.165.79,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.03.3 LTS,TBC,TBC
LAT0000325,TELAPP438S,Virtual,Telford,Windows,Sandbox - Mobile App API,Application Tier,LateRooms,4,1,4,4,172.31.165.80,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000326,TELAPP439P,Virtual,Telford,Windows,Search API / Hotel API / Booking API / Address API / SecureCardPortal API,Application Tier,LateRooms,4,1,4,8,172.31.165.81,103 FE_WEB,172.31.178.121,501,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000327,TELAPP440P,Virtual,Telford,Windows,Search API / Hotel API / Booking API / Address API / SecureCardPortal API,Application Tier,LateRooms,4,1,4,8,172.31.165.82,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000328,TELAPP441P,Virtual,Telford,Windows,Search API / Hotel API / Booking API / Address API,Application Tier,LateRooms,4,1,4,8,172.31.165.83,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000329,TELAPP442P,Virtual,Telford,Windows,Search API / Hotel API / Booking API / Address API,Application Tier,LateRooms,4,1,4,8,172.31.165.84,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000330,TELAPP443P,Virtual,Telford,Windows,Search API / Hotel API / Booking API / Address API,Application Tier,LateRooms,4,1,4,8,172.31.165.85,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000331,TELAPP444P,Virtual,Telford,Windows,Search API / Hotel API / Booking API / Address API,Application Tier,LateRooms,4,1,4,8,172.31.165.86,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000332,TELAPP445P,Virtual,Telford,Windows,Mobile API (Rabbit MQ),Application Tier,LateRooms,4,1,4,8,172.31.165.87,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000333,TELAPP446P,Virtual,Telford,Windows,Mobile API (Rabbit MQ),Application Tier,LateRooms,4,1,4,8,172.31.165.88,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000334,TELAPP447P,Virtual,Telford,Linux,Varnish API Pool ,Application Tier,LateRooms,2,1,2,1,172.31.165.89,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.04.3 LTS,TBC,TBC
LAT0000335,TELAPP448P,Virtual,Telford,Linux,Varnish API Pool,Application Tier,LateRooms,2,1,2,1,172.31.165.90,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.04.3 LTS,TBC,TBC
LAT0000336,TELAPP449P,Virtual,Telford,Linux,Varnish API Pool,Application Tier,LateRooms,2,1,2,1,172.31.165.91,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.04.3 LTS,TBC,TBC
LAT0000337,TELAPP450P,Virtual,Telford,Linux,mobile app,Application Tier,LateRooms,2,1,2,1,172.31.165.92,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.04.3 LTS,TBC,TBC
LAT0000338,TELAPP451P,Virtual,Telford,Linux,mobile app,Application Tier,LateRooms,2,1,2,1,172.31.165.93,103 FE_WEB,172.31.178.123,501,tlrg.org,Precise Pangolin,12.04.3 LTS,TBC,TBC
LAT0000339,TELAPP452S,Virtual,Telford,Linux,mobile app,Application Tier,LateRooms,2,1,2,1,172.31.165.94,103 FE_WEB,TBC,TBC,tlrg.org,Precise Pangolin,12.04.3 LTS,TBC,TBC
LAT0000340,TELAPP020P,Virtual,Telford,Windows,Res API bookings,Application Teir,LateRooms,2,1,2,4,172.31.165.51,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000341,TELAPP021P,Virtual,Telford,Windows,Res API bookings,Application Teir,LateRooms,2,1,2,4,172.31.165.52,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000342,TELAPP022P,Virtual,Telford,Windows,Res API bookings,Application Teir,LateRooms,2,1,2,4,172.31.165.53,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000343,TELAPP023P,Virtual,Telford,Windows,Active Inventory,Application Teir,LateRooms,4,1,4,8,172.31.165.54,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000344,TELWEB050P,Virtual,Telford,Windows,Liberate LR Connect,Web Frontend,Alex Maher,2,1,2,16,172.31.165.55,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000345,TELWEB051P,Virtual,Telford,Windows,Liberate LR Connect,Web Frontend,Alex Maher,2,1,2,16,172.31.165.56,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000346,TELWEB052P,Virtual,Telford,Windows,Liberate LR Connect,Web Frontend,Alex Maher,2,1,2,16,172.31.165.57,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000347,TELWEB053P,Virtual,Telford,Windows,Liberate LR Connect,Web Frontend,Alex Maher,2,1,2,16,172.31.165.58,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000348,TELWEB054P,Virtual,Telford,Windows,Liberate LR Connect,Web Frontend,Alex Maher,2,1,2,16,172.31.165.59,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000349,TELWEB055P,Virtual,Telford,Windows,Liberate LR Connect,Web Frontend,Alex Maher,2,1,2,16,172.31.165.60,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000350,TELWEB056P,Virtual,Telford,Windows,Static Data Refresh,Web Frontend,Alex Maher,2,1,2,16,172.31.165.61,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000351,TELWEB057P,Virtual,Telford,Windows,Static Data Refresh,Web Frontend,Alex Maher,2,1,2,16,172.31.165.62,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000352,TELINF028P,Virtual,Telford,Linux,Icinga,Application Tier,LateRooms,4,1,4,8,172.31.165.95,104 SHARED_SVC,172.31.178.124,501,tlrg.org,squeeze,6,TBC,TBC
LAT0000353,TELAPP409P,Virtual,Telford,Windows,Sandbox - Payment Card Services Servers,Application Teir,LateRooms,4,1,4,16,172.31.142.202,109 Tokenisation,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
